title,address,type,price,area,bedrooms,bathrooms,description
Luxury Villa,123 Garden Road Lahore,house,45000000,500,5,4,Beautiful 5 bedroom villa with swimming pool
Modern Apartment,45 Gulberg III Lahore,apartment,25000000,200,3,2,Modern 3 bed apartment in premium location
Commercial Plot,DEFENCE Phase VIII Lahore,plot,80000000,1000,0,0,Prime commercial plot ready for development
Family House,78 Model Town Lahore,house,35000000,400,4,3,Spacious family home with garden
Penthouse Suite,99 Jail Road Lahore,apartment,60000000,350,4,3,Exclusive penthouse with city view
Corner Plot,Gulshan-e-Ravi Lahore,plot,15000000,240,0,0,Corner plot ideal for construction
Duplex Home,Canal Colony Lahore,house,28000000,300,4,3,Duplex with modern amenities
Studio Apartment,Shah Alam Market Lahore,apartment,12000000,120,1,1,Compact studio apartment
Retail Space,Market Plaza Lahore,commercial,35000000,500,0,0,Prime retail space in shopping mall
Townhouse,Wapda Town Lahore,house,22000000,250,3,2,Nice townhouse in residential area